User_ID,Calories,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Activity_Type
10001159,76.0,female,67,176.0,74.0,12.0,103.0,39.6,Running
10001607,93.0,female,34,178.0,79.0,19.0,96.0,40.6,Running
10005485,49.0,female,38,178.0,,14.0,82.0,40.5,Walking
10005630,36.0,female,39,169.0,66.0,8.0,90.0,39.6,Running
10006441,122.0,male,23,169.0,73.0,25.0,102.0,40.7,Running
10006606,130.0,male,50,183.0,89.0,23.0,96.0,40.4,Running
10007368,65.0,female,21,185.0,80.0,12.0,103.0,39.9,Running
10007686,30.0,female,47,145.0,47.0,7.0,84.0,39.6,Walking
10008086,129.0,male,56,165.0,74.0,25.0,93.0,40.8,Running
10008486,55.0,female,53,157.0,65.0,10.0,97.0,39.9,Running
10008599,106.0,male,24,180.0,81.0,27.0,94.0,40.6,Running
10011152,28.0,female,22,145.0,43.0,9.0,77.0,39.9,Walking
10011812,55.0,female,62,148.0,50.0,10.0,,39.9,High_Intensity
10011832,264.0,male,62,196.0,97.0,30.0,112.0,40.8,Running
10011980,3.0,male,33,197.0,101.0,1.0,80.0,38.2,Walking
10012654,142.0,female,40,157.0,57.0,23.0,104.0,40.7,Running
10012801,95.0,female,25,170.0,62.0,19.0,96.0,40.5,Running
10013063,62.0,female,71,153.0,56.0,11.0,94.0,40.0,Running
10013882,14.0,male,52,160.0,68.0,5.0,79.0,39.0,Walking
10014515,36.0,female,38,164.0,64.0,8.0,90.0,39.8,Running
10014651,160.0,female,43,156.0,54.0,24.0,108.0,40.9,Running
10015652,70.0,male,34,156.0,65.0,16.0,96.0,40.1,Running
10016768,100.0,female,67,161.0,57.0,18.0,94.0,40.3,Running
10018110,1.0,male,26,174.0,79.0,1.0,74.0,37.7,Walking
10018244,60.0,male,21,191.0,95.0,18.0,89.0,40.6,Walking
10018305,3.0,male,29,167.0,71.0,2.0,77.0,37.9,Walking
10018455,157.0,female,20,158.0,54.0,25.0,108.0,40.7,Running
10018548,71.0,female,33,163.0,59.0,14.0,95.0,40.3,Running
10020017,63.0,male,20,192.0,,15.0,95.0,40.1,Running
10020368,37.0,female,22,151.0,50.0,7.0,98.0,39.5,Running
10020479,202.0,female,35,173.0,71.0,29.0,114.0,41.0,Running
10021419,189.0,female,63,159.0,62.0,29.0,104.0,40.4,Running
10022050,182.0,male,57,195.0,93.0,24.0,,40.7,High_Intensity
10022370,10.0,male,38,197.0,94.0,3.0,83.0,38.5,Walking
10023167,153.0,male,39,188.0,91.0,24.0,104.0,40.8,Running
10023275,66.0,female,35,168.0,61.0,12.0,99.0,39.5,Running
10023509,43.0,male,61,167.0,74.0,10.0,86.0,40.1,Walking
10024532,43.0,male,34,171.0,68.0,14.0,87.0,40.5,Walking
10026750,67.0,female,48,171.0,70.0,13.0,95.0,40.4,Running
10027237,43.0,male,30,181.0,79.0,10.0,95.0,40.1,Running
10027476,123.0,male,70,167.0,76.0,19.0,97.0,40.6,Running
10028049,54.0,male,40,180.0,78.0,14.0,89.0,40.1,Walking
10028780,76.0,female,20,170.0,67.0,17.0,93.0,40.3,Running
10029283,170.0,female,49,164.0,59.0,27.0,104.0,40.8,Running
10029318,62.0,female,57,176.0,74.0,12.0,94.0,40.1,Running
10029380,194.0,female,64,176.0,77.0,27.0,112.0,40.8,Running
10029469,111.0,female,28,163.0,66.0,21.0,99.0,40.8,Running
10030155,157.0,female,49,185.0,79.0,27.0,102.0,41.2,Running
10030257,10.0,male,21,182.0,82.0,3.0,92.0,38.6,Running
10030610,203.0,male,62,196.0,93.0,26.0,106.0,40.8,Running
10030937,156.0,male,41,176.0,74.0,25.0,105.0,41.0,Running
10031845,13.0,female,51,167.0,62.0,3.0,87.0,38.7,Walking
10034058,62.0,male,79,172.0,75.0,11.0,89.0,40.1,Walking
10034236,133.0,female,27,149.0,55.0,25.0,98.0,40.6,Running
10038035,7.0,male,26,185.0,86.0,3.0,83.0,,Walking
10038255,23.0,female,69,191.0,88.0,6.0,82.0,38.8,Walking
10038366,144.0,male,43,170.0,78.0,23.0,104.0,40.5,Running
10039189,104.0,female,53,166.0,54.0,17.0,101.0,40.2,Running
10039572,49.0,female,26,177.0,75.0,12.0,89.0,40.0,Walking
10041182,8.0,female,47,173.0,67.0,2.0,86.0,38.1,Walking
10041318,20.0,male,57,195.0,98.0,4.0,89.0,38.8,Walking
10041638,75.0,male,26,184.0,85.0,17.0,96.0,40.4,Running
10042786,184.0,female,53,166.0,68.0,29.0,105.0,40.8,Running
10042815,42.0,female,28,155.0,55.0,11.0,84.0,39.9,Walking
10043979,91.0,female,71,156.0,56.0,15.0,98.0,40.2,Running
10044030,180.0,male,76,187.0,92.0,22.0,104.0,40.6,Running
10044198,271.0,male,69,185.0,85.0,30.0,113.0,40.7,Running
10044742,189.0,female,35,163.0,61.0,27.0,113.0,40.7,Running
10044774,114.0,male,32,189.0,89.0,19.0,104.0,40.0,Running
10045428,62.0,female,75,166.0,68.0,12.0,90.0,40.1,Running
10045701,41.0,male,52,195.0,101.0,7.0,95.0,39.7,Running
10046234,141.0,male,71,205.0,115.0,20.0,95.0,40.7,Running
10046288,31.0,male,53,161.0,66.0,8.0,87.0,39.5,Walking
10047325,99.0,male,21,206.0,114.0,17.0,103.0,40.3,Running
10047498,84.0,male,34,197.0,92.0,14.0,103.0,40.3,Running
10048196,190.0,male,48,181.0,91.0,28.0,104.0,40.9,Running
10048606,188.0,female,49,167.0,68.0,29.0,107.0,40.9,Running
10049887,72.0,female,54,162.0,64.0,15.0,90.0,40.2,Running
10050978,44.0,male,51,181.0,87.0,9.0,91.0,39.6,Running
10052269,142.0,male,28,195.0,100.0,22.0,107.0,41.0,Running
10052574,183.0,female,52,157.0,56.0,26.0,110.0,40.8,Running
10053023,111.0,male,37,185.0,80.0,18.0,105.0,40.7,Running
10054414,12.0,female,35,156.0,57.0,3.0,84.0,38.3,Walking
10054672,78.0,male,30,180.0,84.0,16.0,98.0,40.1,Running
10055434,54.0,male,28,202.0,99.0,15.0,88.0,39.9,Walking
10056790,67.0,male,54,181.0,90.0,12.0,94.0,40.0,Running
10057403,43.0,female,61,162.0,66.0,10.0,84.0,39.8,Walking
